family_id,name,observed_examples,basis,implementation_status,visual_review,student_pilot
F01,"Tal, brøker og decimaler",EXAM-2022-A 1.1; EXAM-2022-A 6.1; EXAM-2023-N 1; EXAM-2023-N 2; EXAM-2023-N 5; EXAM-2023-N 6; EXAM-2023-N 10,Curriculum-informed product family; mapped examples where observed,implemented,pending,pending
F02,"Procent, forhold og opskalering",EXAM-2022-A 1.2; EXAM-2022-A 1.3; EXAM-2022-A 3.3; EXAM-2023-N 1; EXAM-2023-N 2; EXAM-2023-N 3,Curriculum-informed product family; mapped examples where observed,implemented,pending,pending
F03,"Overslag, potenser og rødder",EXAM-2023-N 8; EXAM-2023-N 9,Curriculum-informed product family; mapped examples where observed,implemented,pending,pending
F04,"Ligninger, uligheder og enkle systemer",EXAM-2022-A 4.2; EXAM-2022-A 6.2; EXAM-2023-N 7,Curriculum-informed product family; mapped examples where observed,implemented,pending,pending
F05,"Formler, omskrivning og fejl",EXAM-2022-A 4.1; EXAM-2022-A 4.2; EXAM-2022-A 4.4; EXAM-2022-A 6.1; EXAM-2022-A 6.2; EXAM-2022-A 6.3; EXAM-2022-A 6.4; EXAM-2023-N 6; EXAM-2023-N 9,Curriculum-informed product family; mapped examples where observed,implemented,pending,pending
F06,Lineære modeller og tilbud,EXAM-2022-A 1.1; EXAM-2022-A 1.2; EXAM-2022-A 1.4; EXAM-2022-A 4.3; EXAM-2023-N 11; EXAM-2023-N 16,Curriculum-informed product family; mapped examples where observed,implemented,pending,pending
F07,Vækst og ikke-lineære modeller,,Curriculum-informed product family; not observed in selected task map,implemented,pending,pending
F08,"Enheder, fart og sammensatte mål",EXAM-2022-A 4.1; EXAM-2023-N 4; EXAM-2023-N 12,Curriculum-informed product family; mapped examples where observed,implemented,pending,pending
F09,Vinkler og geometriske egenskaber,EXAM-2023-N 13,Curriculum-informed product family; mapped examples where observed,implemented,pending,pending
F10,Målestok og ligedannethed,EXAM-2022-A 3.1; EXAM-2022-A 3.2; EXAM-2023-N 14,Curriculum-informed product family; mapped examples where observed,implemented,pending,pending
F11,"Omkreds, areal og rumfang",EXAM-2022-A 7.1; EXAM-2023-N 15; EXAM-2023-N 17,Curriculum-informed product family; mapped examples where observed,implemented,pending,pending
F12,Retvinklede trekanter,EXAM-2022-A 3.1; EXAM-2022-A 3.3,Curriculum-informed product family; mapped examples where observed,implemented,pending,pending
F13,Konstruktioner og koordinatgeometri,EXAM-2022-A 7.1,Curriculum-informed product family; mapped examples where observed,implemented,pending,pending
F14,Symmetri og flytninger,,Curriculum-informed product family; not observed in selected task map,implemented,pending,pending
F15,Diagrammer og deskriptorer,EXAM-2022-A 2.1; EXAM-2022-A 5.1; EXAM-2022-A 5.2; EXAM-2023-N 18; EXAM-2023-N 19,Curriculum-informed product family; mapped examples where observed,implemented,pending,pending
F16,Dataundersøgelser,EXAM-2022-A 2.1; EXAM-2022-A 5.2; EXAM-2022-A 5.3,Curriculum-informed product family; mapped examples where observed,implemented,pending,pending
F17,Enkle sandsynligheder,EXAM-2023-N 20,Curriculum-informed product family; mapped examples where observed,implemented,pending,pending
F18,Sammensatte hændelser og simulering,,Curriculum-informed product family; not observed in selected task map,implemented,pending,pending
